,ID,Probability,Gamma,Location,Alpha,Gamma_Error,Location_Error,Alpha_Error,Determinant
0,1007,0.015299713421816061,0.54881350392732475,0.71518936637241948,0.60276337607164387,0.23068872306328725,0.30388573877667363,0.28179611318720166,0.00037101317855463614
1,1021,3.7356618765584991e-38,0.417022004702574,0.7203244934421581,0.00011437481734488664,0.26446717061097569,0.30129588269885388,0.3193263236152229,0.00053004087372269333
2,1025,0.013001734182845767,0.43599490214200376,0.025926231827891333,0.54966247787870914,0.27141119828021337,0.29010801002927683,0.22794046490792627,0.00031274458125253813
3,1041,0.0043745862136885761,0.5507979025745755,0.70814782261810483,0.29090473891294433,0.24277061963822727,0.2241484424445658,0.27390406153996516,0.00019011968221384413
4,10518,0.0030338237538804348,0.96702983901367667,0.54723224917572233,0.97268435996488434,0.27432774269810062,0.32000119701103275,0.25200407927798391,0.00046818203455124092
5,1052,0.014215993324454303,0.22199317108973948,0.8707323061773764,0.20671915533942642,0.31495857969248242,0.3125317646537018,0.27738320253662779,0.00059124114751499767
6,1107,0.0042663781068462657,0.89286015143600161,0.33197980530117721,0.8212291230578318,0.25803625610363207,0.24807823767737164,0.24925185183413276,0.00023840499539343212
7,1120,0.006572310353243657,0.076308289373957172,0.77991879224011462,0.4384092314408935,0.26113875378280726,0.27280849435354593,0.19319908539901343,0.00011284199864476393
8,1124,0.037614527983417793,0.87342940279181625,0.96854066282093199,0.86919454021391995,0.28609189743025487,0.311353320756659,0.27635935725384236,0.00050175720940405391
9,1128,0.00081657762650593608,0.010374153885699955,0.50187459214873875,0.49577329313414609,0.30429274116325516,0.28747619299042104,0.28420061483275771,0.00056772451656876566
10,1136,0.0052152311410608677,0.77132064326674599,0.0207519493594015,0.63364823492627542,0.27460653486722314,0.26041065574153077,0.29182434695782883,0.00038257112863014994
11,1137,0.012487811209099992,0.1802696888767692,0.019475241487624584,0.46321852649834461,0.29520095838843935,0.27966120674324302,0.2930097034283522,0.00041103740400769779
12,1138,0.0093260435837297009,0.15416284237967237,0.74004969651540475,0.26331501518513467,0.28085032782516994,0.28377979790266555,0.33371974445361646,0.00060049923670480766
13,1169,0.01154090555923829,0.77770241057382017,0.23754122003491229,0.82427853266136852,0.32017120542692135,0.26535893452873616,0.22886538159951006,0.00033939897191316798
14,1174,0.02612069403983593,0.51394334377269024,0.77316505207929676,0.87042768572481266,0.29706857463044478,0.3174182270160904,0.24479384517300984,0.0005006725500149204
15,1190,1.8731328506297651e-20,0.8488176972685787,0.17889592492099848,0.054363214306431429,0.18837571987960414,0.28582896488642801,0.33317862758332034,0.00031112301805211661
16,1194,0.014007203078998533,0.22329107915353885,0.52316334140067611,0.55070145658118108,0.3245548478852972,0.2386937612566595,0.2435828332024913,0.00031158906212796534
17,1197,0.012950466563841466,0.29466500268710971,0.53058675560529411,0.19152078694749486,0.30668385354873312,0.26441830969265723,0.26267001328261846,0.00044152360016615086
18,1,0.018457052114725678,0.65037424173959169,0.50545337373484289,0.87860147092155194,0.27078145604134307,0.34006420267059351,0.29180362249284503,0.00060295981958324743
